bottle_volume_ml,bottles_sold,sale_dollars,state_bottle_cost,state_bottle_retail,volume_sold_gallons,volume_sold_liters
2222550,33807,669218,41095,61648,8299,31477
2470200,26722,538736,45493,68245,6245,23705
2401250,24677,489949,46510,69771,5813,22065
1359500,13964,264681,27781,41674,3558,13504
2518850,28980,612211,49479,74224,6874,26086
2288350,29072,657152,50308,75467,6534,24792
2245950,36404,812821,47346,71024,8496,32220
3208725,34335,746609,71229,106851,7756,29443
1923852,18438,406690,39617,59431,4200,15951
547525,5208,118656,10967,16451,1183,4495
